,Item Title,Item Price,Unnamed: 0
157,"Olympic 2"" Bumper Weight Plates 25KG Pairs B Grade Cheap Delivered UK",£75.00,157.0
158,"2 x 10kg cast iron weight plates - 1"" Hole diameter  (20kg total)",£35.00,158.0
159,"Multiple Body Max 2 inch weight plates (1.25kg, 2.5kg, 5kg, 10kg, 15kg & 20kg)",£139.00,159.0
160,Hampton 20kg weight plates (pair),£45.00,160.0
161,CERBERUS Cast Iron Olympic Plates,£13.99,161.0
162,15kg York ISO-Grip Steel Composite Rubber Coated Gym Olympic Weight Plates.,£25.00,162.0
163,8x 20kg york 1 Inch Plates,£12.00,163.0
164,"2 X 10kg Vinyl Coated 1"" Weight Plates 20kg Total Weights For Weightlifting Bar",£27.99,164.0
165,York 20kg Olympic Weight Cast Iron Plates 2 Inch Hole Pair of 20kg. ,£90.00,165.0
166,"Olympic discs - 20kg, 15kg, 2.5kg and 1.25kg pairs",£140.00,166.0
167,"2x 20kg Silver 1"" Vinyl Iron Filled Weight Plates/Discs Gym Weights Bar Training",£49.99,167.0
168,Olympic Weight Plates Set,£5.00,168.0
169,Hardcastle Weight Lifting Plates/Discs Gym Training Dumbbell/Bar Vinyl Weights,£8.99,169.0
170,Bauer Commercial Rubber 50mm Olympic Plates (No Logo) 15kg & 20kg Options,£39.99,170.0
171,2x 20kg Gold’s Gym Olympic Weight Plates,£53.00,171.0
172,2 x 20kg Olympic Weights. 2 Sets Of 2 Available.,£70.00,172.0
173,"150KG 2"" Olympic Bumper Weight Plate Set - 5kg 10kg 15kg 20kg 25kg 99p Start 02",£280.00,173.0
174,10kg/20kg Dumbells Pair of Gym Weights Barbell/Dumbbell Body Building Weight Set,£13.59,174.0
175,10KG x 2 Cast Iron Barbell 25mm Weight Plates 20KG Total Standard Plates ,£45.00,175.0
176,2 x 10KG Cast Iron Barbell Dumbbell Weight Plates 20KG Total Weight Plates 25MM ,£45.00,176.0
