,Item Title,Item Price,Unnamed: 0,Unnamed: 0.1
107,Mirafit Cast Iron Ruck Plates. 5kg 10kg 15kg 20kg complete set,£122.00,102.0,102.0
108,Olympic Rubber Weights Tri-Grip Plates Set Home Fitness Lift Heavy Disc GYM Pair,£79.99,103.0,103.0
109,4ft Olympic Barbell and 2 x 10kg Weights ,£51.00,104.0,104.0
110,pair 20kg Olympic weight plates ,£60.00,105.0,105.0
111,70kg bumper plates PACK  breakthrough strength 2x 15kg + 2 x 20kg - NEW,£82.00,106.0,106.0
112,2 x 20kg olympic 2inch weights  read description,£45.00,107.0,107.0
113,Cast Iron Weight Plate 1-20KG Tri Grip and Gazebo Weight Plate REFRUB GRADE B,£6.99,108.0,108.0
114,2 x 20kg Cast Iron weight plates 1 inch,£50.00,109.0,109.0
115,"10kg x2 Opti Cast Iron Weight Plates 1"" Inch Hole Suitable for Standard Barbells",£35.00,110.0,110.0
116,"150KG 2"" Olympic Bumper Weight Plate Set - 5kg 10kg 15kg 20kg 25kg 99p Start 05",£270.00,111.0,111.0
117,"5kg x4 Opti Cast Iron Weights Plates 1"" Inch Hole Suitable for Barbell Dumbbell",£27.50,112.0,112.0
118,Jordan fitness 20kg weight lifting plates gym equipment x2 available £2 per kg,£40.00,113.0,113.0
119,Escape Commercial Tri Grip Olympic Urethane Training Discs Weight plates. 20kg,£25.00,114.0,114.0
120,"JLL® Cast Iron Weight Plates, 0.5kg to 20kg pairs, for 1"" Weight Lifting Bars",£11.99,115.0,115.0
121,"HALE Black Bumper Plates Rubber Weight Olympic 2"" New 5KG 10KG 15KG 20KG 25KG",£40.00,116.0,116.0
122,"RUBBER BUMPER PLATE - OLYMPIC - 2"" 50MM - 5KG - 10KG - 15KG - 20KG - 25KG",£80.00,117.0,117.0
123,Weight plates 1” bundle with about 100kg weights and rack plate tree,£72.00,118.0,118.0
124,Olympic Barbell With Weights,£96.00,119.0,119.0
125,PAIR 20kg  Bumper Plate Rubber Weight lifting must pick up,£46.00,120.0,120.0
126,70kg bumper plates PACK  breakthrough strength 2x 15kg + 2 x 20kg - NEW,£67.00,121.0,121.0
127,Pair of 20kg Tri Grip Olympic Weight Plates,£41.00,122.0,122.0
128,4 X 20kg BodyMax Cast Iron Tri-Grip Olympic Weight Plates 80kg Total,£150.00,123.0,123.0
129,"Olympic Rubber Coated Cast Iron Barbell Plates 2"" 50mm Tri Grip Weight Plates",£14.99,124.0,124.0
130,Cast Iron Weight Plates 2x 10kg 2x 20kg  + Standard Steel Barbell,£110.00,125.0,125.0
131,"2x 20kg spartan weight plates 2"" centres",£70.00,126.0,126.0
132,"Power Gym 20kg Weight plate, sold as single ",£21.00,127.0,127.0
133,"Classic Olympic 2"" Cast-Iron Weight Plates",£25.99,128.0,128.0
134,2x5/10/15/20kg 2'' Olympic Rubber Barbell Bumper Weight Plates Gym Home,£29.99,129.0,129.0
135,"10kg, Weight Plates, Tri Grip, Olympic Rubber Coated, Pair. 2 x 10kg = 20kg",£49.95,130.0,130.0
136,"150KG 2"" Olympic Bumper Weight Plate Set - 5kg 10kg 15kg 20kg 25kg 99p Start 04",£275.00,131.0,131.0
137,"Weight Plates Rubber Bumper Plates 70kg set (2x5kg, 2x10kg, 2x20kg) `B` grade",£154.99,132.0,132.0
138,"Weight Plates Set 20kg Standard 1"" Vinyl Barbell Dumbbell Lifting Training Discs",£26.99,133.0,133.0
139,20kg bumper plates. Strength Shop,£65.00,134.0,134.0
140,2 x 20kg 2” Mirafit Olympic Rubber Bumper Plates,£90.00,135.0,135.0
141,Mirafit 20kg Studio Pump Weights & Barbell Rep Set Aerobic Body Strength Workout,£89.99,136.0,136.0
142,Olympic Bumper Weight Plates 5kg - 25kg Hi Impact Rubber Weights Sets Training,£76.99,137.0,137.0
143,20kg Cast Iron Weight Plates X2 - Domyos,£120.00,138.0,138.0
144,York ISO-Grip Steel Composite Rubber Coated Gym Olympic Weight Plates - 20kg,£25.00,139.0,139.0
145,"Golds Gym Authentic 20kg 1"" Cast Iron Barbell Plates",£40.00,140.0,140.0
146,"150KG 2"" Olympic Bumper Weight Plate Set - 5kg 10kg 15kg 20kg 25kg 99p Start 02",£210.00,141.0,141.0
147,2 olympic body power cast iron weights 44lb or 20 kilos ,£50.00,142.0,142.0
148,20kg x 2 TNP weight plates,£40.00,143.0,143.0
149,"150KG 2"" Olympic Bumper Weight Plate Set - 5kg 10kg 15kg 20kg 25kg 99p Start 03",£280.00,144.0,144.0
150,York 2x 10kg Black Cast Iron 1Inch Plates,£54.99,145.0,145.0
151,Olympic Bumper Plates Weight Rubber Crumb Set Barbell - 5KG 10KG 15KG 20KG 25KG,£29.99,146.0,146.0
152,Adjustable Free Weight Sets Dumbbell Bars Weight Plates Standard 30mm Barbells,£13.95,147.0,147.0
153,20kg olympic plates,£42.00,148.0,148.0
154,caste iron weights 142Kg mostly York 2x20kg  4x10kg 4x 7.5 4x 5kg  10x 1kg 4x0.5,£150.00,149.0,149.0
155,"2x 20kg Cast Iron York Style Olympic Weight Plates 2""",£80.00,150.0,150.0
156,Hex Dumbbells Cast Iron Rubber Encased Hexagonal Dumbbells Gym Weight Set Home ,£14.99,151.0,151.0
157,150kg Plate Set with 20kg Olympic Bar. Adjustable Squat Dip Rack Weights Station,£550.00,152.0,152.0
158,20kg weight plates - concrete,£5.00,153.0,153.0
159,Jordan Fitness Tri Grip Weight Plates 20kg X 2,£70.00,154.0,154.0
160,2 x 20kg weight plates 1 inch,£80.00,155.0,155.0
161,"FXR Sports 2"" Olympic Tri Grip Cast Iron Weight Plates Rubber Encased",£19.95,156.0,156.0
162,"Olympic 2"" Bumper Weight Plates 25KG Pairs B Grade Cheap Delivered UK",£75.00,157.0,157.0
163,"2 x 10kg cast iron weight plates - 1"" Hole diameter  (20kg total)",£35.00,158.0,158.0
164,"Multiple Body Max 2 inch weight plates (1.25kg, 2.5kg, 5kg, 10kg, 15kg & 20kg)",£139.00,159.0,159.0
165,Hampton 20kg weight plates (pair),£45.00,160.0,160.0
166,CERBERUS Cast Iron Olympic Plates,£13.99,161.0,161.0
167,15kg York ISO-Grip Steel Composite Rubber Coated Gym Olympic Weight Plates.,£25.00,162.0,162.0
168,8x 20kg york 1 Inch Plates,£12.00,163.0,163.0
169,"2 X 10kg Vinyl Coated 1"" Weight Plates 20kg Total Weights For Weightlifting Bar",£27.99,164.0,164.0
170,York 20kg Olympic Weight Cast Iron Plates 2 Inch Hole Pair of 20kg. ,£90.00,165.0,165.0
171,"Olympic discs - 20kg, 15kg, 2.5kg and 1.25kg pairs",£140.00,166.0,166.0
172,"2x 20kg Silver 1"" Vinyl Iron Filled Weight Plates/Discs Gym Weights Bar Training",£49.99,167.0,167.0
173,Olympic Weight Plates Set,£5.00,168.0,168.0
174,Hardcastle Weight Lifting Plates/Discs Gym Training Dumbbell/Bar Vinyl Weights,£8.99,169.0,169.0
175,Bauer Commercial Rubber 50mm Olympic Plates (No Logo) 15kg & 20kg Options,£39.99,170.0,170.0
176,2x 20kg Gold’s Gym Olympic Weight Plates,£53.00,171.0,171.0
177,2 x 20kg Olympic Weights. 2 Sets Of 2 Available.,£70.00,172.0,172.0
178,"150KG 2"" Olympic Bumper Weight Plate Set - 5kg 10kg 15kg 20kg 25kg 99p Start 02",£280.00,173.0,173.0
179,10kg/20kg Dumbells Pair of Gym Weights Barbell/Dumbbell Body Building Weight Set,£13.59,174.0,174.0
180,10KG x 2 Cast Iron Barbell 25mm Weight Plates 20KG Total Standard Plates ,£45.00,175.0,175.0
181,2 x 10KG Cast Iron Barbell Dumbbell Weight Plates 20KG Total Weight Plates 25MM ,£45.00,176.0,176.0
